Date,Return,Score
2020-06-15,-0.014957220205375377,-0.8953589200973511
2020-06-16,0.029579963341064497,-0.8804033994674683
2020-06-17,-0.016471997897512525,-0.8772424459457397
2020-06-18,0.00837393437822831,0.573133647441864
2020-06-19,-0.02587869411057242,-0.9562528729438782
2020-06-22,0.008723242518265284,0.0
2020-06-23,0.023978002956048128,0.0
2020-06-24,-0.061036519329593086,0.6079667210578918
2020-06-25,0.020237199029891073,-0.505906343460083
2020-06-26,-0.03726711257596027,0.0
2020-06-29,0.02601451242597297,0.0
2020-06-30,0.0,-0.7495055794715881
2020-07-01,-0.006693657762861571,-0.7928290367126465
2020-07-02,0.02327952253462806,0.0
2020-07-06,0.05487921280441421,0.0
2020-07-07,-0.006242855428564065,-0.727450430393219
2020-07-08,-0.002284444845294331,0.0
